Sitename,Labcode,Longitude,Latitude,Yrs BP,STD
Azawad,UQ1051,-3.1,17.52,9250,100
Azawad,Gif6460,-3.1,17.52,3530,90
Azelik 210,Gif5546,6.78,17.5,2510,70
Azelik 210,Gif4330,6.78,17.5,2480,90
Azelik 210,Gif4175,6.78,17.5,2490,90
Azelik 210,Gif3863,6.78,17.5,2040,90
Azelik 210,207Gif?,6.78,17.5,2400,90
Azougi,Gif5340,-13.1,20.55,890,80
Azougi,Gif5339,-13.1,20.55,1010,80
Azougi,Gif5338,-13.1,20.55,880,80
Azougi,Gif5337,-13.1,20.55,950,80
Azougi,Gif5336,-13.1,20.55,950,80
Azrag,Ly489,-12.31,22.34,9120,310
Azrou,UW609,8.6,20.03,3930,110
Azrou,206Orsay,8.6,20.03,3880,105
Baba Haida,I2555,-2.1,30.08,8950,145
Baba Haida,I1993,-2.1,30.08,3370,95
Baba Haida,I1992,-2.1,30.08,5490,110
Baie du Levrier,I3949,-16.67,20.88,5040,120
Baie du Levrier,Dak70,-16.67,20.88,5211,117
Baie St Jean,Ly445,-16.33,19.42,4270,110
Baie St Jean,LGD26,-16.33,19.42,4850,130
Baiede St Jean,LGQ26,-16.33,19.42,4850,130
Baiedel Etoile,Ly349,-17.03,21.03,6230,130
Baiedel Etoile,Gif2494,-17.03,21.03,5730,120
BakhaliI V Bahali 110,Gif4201,18.38,16.18,1540,90
Balanites,Erl9465,-3.44,14.4,6410,49
Balanites,Erl8358,-3.44,14.4,6296,58
Bammeira,Gi17094,-15.98,18.03,1960,60
Bani Bangou,LGQ29,2.82,15.17,2970,290
Baqueir,Gif6812,32.58,15.92,4620,80
Bardae,Hv6841,16.97,21.3,1965,710
Bardague Araye,Hv6929,16.58,22.58,3790,300
Bardague Araye,Hv5482,16.58,22.58,5220,160
Bardague playa,Hv6933,16.65,22.55,3385,60
Bardague playa,Hv6923,16.65,22.55,2280,65
Bardague playa,HV2261,16.65,22.55,4060,165
Barranco Hondo,CSIC199,-16.36,28.4,2490,60
Barranco Hondo,CSIC188,-16.36,28.4,1970,60
Barranco Hondo,CSIC187,-16.36,28.4,1800,60
Bashendi,Beta6873,28.83,25.67,5800,60
Bashendi,x52415,28.83,25.67,5745,80
Bassin du Tchad,Ny67,15.15,15.72,4260,360
Ben Dahi,Hv7975,3.08,31.67,3435,115
Beurkia,T642,18.07,15.48,6990,140
Bguent,Ly444,-16.25,19.63,2700,100
Bilma,T467,12.93,18.7,8100,150
Bilma,T466,12.93,18.7,8030,150
Bilma,I5737,12.93,18.7,9360,125
Bilma,Hv11440,12.93,18.7,10385,550
Bilma,Gif6403,12.93,18.7,2930,80
Bilma,Gif6400,12.93,18.7,6370,70
Bilma,Gif1913,12.93,18.7,8350,100
Bilma,Gif1795,12.93,18.7,5070,110
Bilma,Gif1790,12.93,18.7,8480,300
Bilma,Gif1789,12.93,18.7,7450,140
Bir Bidi,A2289,26.43,19.3,7340,180
Bir Bidi,A2280,26.43,19.3,6530,100
Bir Kiseiba,SMU807,29.92,22.68,7780,130
Bir Kiseiba,SMU764,29.92,22.68,7610,70
Bir Kiseiba,SMU760,29.92,22.68,8130,110
Bir Kiseiba,SMU744,29.92,22.68,7950,130
Bir Kiseiba,SMU739,29.92,22.68,8210,70
Bir Kiseiba,SMU494,29.92,22.68,8740,70
Bir Kiseiba,SMU489,29.92,22.68,8740,95
Bir Kiseiba,SMU486,29.92,22.68,8150,70
Bir Kiseiba,SMU481,29.92,22.68,9000,100
Bir Kiseiba,SMU247,29.92,22.68,6010,75
Bir Kiseiba,KN4330,29.92,22.68,6015,41
Bir Kiseiba E794,Gd926,29.92,22.68,6630,100
Bir Kiseiba E795,SMU761,29.92,22.68,8020,190
Bir Kiseiba scarp,SMU967,30.03,22.83,4590,40
Bir Kiseiba scarp,SMU966,30.03,22.83,5070,120
Bir Kiseiba scarp,SMU1104,30.03,22.83,4530,270
Bir Kiseiba two hill,SMU745,29.98,22.72,6610,225
Bir Kiseiba two hill,SMU630,29.98,22.72,6880,75
Bir Misaha,KN3786,27.17,22.17,6460,70
Bir Misaha,KN3784,27.17,22.17,5930,65
Bir Misaha,KN3412,27.17,22.17,6300,80
Bir Misaha,KN3355,27.17,22.17,5810,150
Bir Oum Ali,Gif4058,9.17,34.12,8260,100
Bir Oum Ali,Gif4057,9.17,34.12,5600,100
Bir Ounane SW,Gif5814,-4,21.08,5270,130
Bir Safsaf,SMU1551,29.33,22.75,5600,60
Bir Tarfawi,AAL-5171D,28.78,22.85,5830,60
Bir Tarfawi,AAL-5171A,28.78,22.85,7500,80
Bir Tarfawi,A1966,28.78,22.85,8170,120
Bir Tarfawi 20,SMU74,28.78,22.85,4510,70
Bir Yogum,Hv2893,19.5,17.47,4040,230
Biskra,GaK1297a,5.9,34.83,5470,180
